origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
36061,false,LowIncome,Commute,Overnight,20976,20851,125,272046
34019,false,Senior,Other,Overnight,6087,5838,249,25840
34023,false,Student,Commute,Peak,399000,398379,621,223943
36061,true,Senior,Commute,Overnight,22725,22534,191,296849
09001,false,NotLowIncome,Commute,Overnight,57516,57103,413,417145
34039,false,Student,Other,Peak,86879,86633,246,142989
34021,false,NotLowIncome,Commute,Peak,258389,246343,12046,157283
34027,false,NotLowIncome,Other,Overnight,107693,106413,1280,252085
42103,false,LowIncome,Other,Overnight,4206,3624,582,9750
36059,false,Student,Commute,Peak,612331,612065,266,343273
36061,false,Senior,Commute,Peak,96522,95933,589,296849
36079,false,Student,Commute,Peak,36046,36019,27,21976
36103,false,NotLowIncome,Other,Overnight,273853,272838,1015,683903
36119,false,Student,Other,Peak,172624,172342,282,249351
34031,false,NotLowIncome,Other,Peak,432840,431931,909,204610
34035,false,NotLowIncome,Other,Overnight,72391,71790,601,171501
36085,false,Senior,Commute,Peak,45228,44939,289,85132
34027,false,LowIncome,Commute,Overnight,5891,5818,73,37898
36087,false,LowIncome,Other,Overnight,20836,20741,95,63359
42103,false,Student,Other,Overnight,1351,1186,165,11063
36081,false,LowIncome,Other,Overnight,122727,122059,668,519866
36079,false,Senior,Other,Peak,23124,23045,79,18957
36071,false,NotLowIncome,Other,Peak,381359,379029,2330,162769
36111,false,Student,Commute,Overnight,2277,2257,20,38188
09005,false,Student,Commute,Overnight,1212,1162,50,37324
36081,false,NotLowIncome,Other,Peak,1216704,1214403,2301,922636
09005,false,Senior,Commute,Overnight,2711,2579,132,41678
34021,false,NotLowIncome,Other,Peak,362522,349267,13255,157283
36061,false,LowIncome,Other,Overnight,41187,40856,331,272046
34019,false,Senior,Commute,Peak,13508,12692,816,25840
34017,false,Senior,Other,Overnight,20245,20108,137,91058
34027,false,LowIncome,Commute,Peak,58936,58323,613,37898
36071,false,LowIncome,Other,Peak,135292,134247,1045,65592
34013,false,Senior,Commute,Peak,81346,80807,539,124942
36005,false,Student,Commute,Overnight,12560,12506,54,399400
36005,false,NotLowIncome,Commute,Overnight,45100,44975,125,395422
34019,false,LowIncome,Commute,Overnight,1033,979,54,10623
34031,false,Student,Commute,Peak,229168,229045,123,133996
36081,false,Senior,Commute,Peak,214691,213695,996,410297
36081,false,Senior,Other,Overnight,66913,66484,429,410297
09005,false,LowIncome,Other,Peak,45238,43108,2130,20483
34029,false,NotLowIncome,Commute,Overnight,25798,25390,408,233632
36087,false,Student,Commute,Peak,135403,135330,73,99191
36103,false,NotLowIncome,Other,Peak,1508559,1507219,1340,683903
42103,false,NotLowIncome,Commute,Peak,22960,18919,4041,23596
42103,false,Senior,Commute,Overnight,1042,949,93,13962
36111,false,Student,Other,Peak,33787,33282,505,38188
36085,false,Senior,Commute,Overnight,6364,6272,92,85132
34023,false,LowIncome,Commute,Peak,139028,138249,779,102510
09009,false,Senior,Commute,Peak,100303,94898,5405,159985
34037,false,NotLowIncome,Other,Overnight,30140,29848,292,72418
09009,false,Student,Commute,Peak,373500,368999,4501,214683
36061,false,Senior,Commute,Overnight,12585,12364,221,296849
34021,false,NotLowIncome,Other,Overnight,63095,61527,1568,157283
34037,false,LowIncome,Commute,Overnight,1378,1353,25,12583
34017,false,NotLowIncome,Other,Peak,540774,538837,1937,332476
36111,false,Senior,Other,Overnight,9518,9345,173,39339
42103,false,LowIncome,Commute,Peak,7452,6065,1387,9750
34017,false,Student,Commute,Peak,240137,240006,131,155738
34037,false,LowIncome,Other,Overnight,5716,5641,75,12583
36047,false,LowIncome,Other,Peak,581302,579897,1405,622797
36079,false,Senior,Commute,Overnight,1493,1457,36,18957
34019,false,Senior,Other,Peak,28556,26705,1851,25840
34029,false,Student,Other,Overnight,18942,18750,192,158111
34023,false,NotLowIncome,Other,Peak,887951,883964,3987,393651
36027,false,Student,Commute,Overnight,3965,3916,49,70555
09005,false,NotLowIncome,Other,Overnight,31128,30006,1122,85672
09001,false,LowIncome,Other,Peak,267363,266082,1281,128768
34031,false,NotLowIncome,Commute,Peak,320011,319404,607,204610
36059,false,LowIncome,Other,Overnight,65160,64908,252,156808
36061,false,NotLowIncome,Other,Peak,430252,428885,1367,765831
36047,false,NotLowIncome,Other,Overnight,240833,239238,1595,1017596
09005,false,NotLowIncome,Commute,Peak,124266,113549,10717,85672
34019,false,LowIncome,Commute,Peak,10457,9894,563,10623
09001,false,LowIncome,Other,Overnight,46694,46316,378,128768
34021,false,Student,Other,Peak,88275,85326,2949,102532
09005,false,Senior,Commute,Peak,25103,23191,1912,41678
36085,false,LowIncome,Other,Peak,111734,111497,237,75637
36085,false,Student,Other,Overnight,12169,12105,64,119449
36005,false,Student,Other,Peak,147494,147205,289,399400
36061,true,LowIncome,Commute,Overnight,42805,42672,133,272046
34003,false,NotLowIncome,Commute,Peak,689226,688037,1189,451742
36079,false,NotLowIncome,Commute,Peak,62560,62423,137,48496
36061,true,Student,Other,Overnight,20030,19895,135,333317
36119,false,NotLowIncome,Other,Peak,956000,954268,1732,439228
34039,false,Senior,Other,Peak,106978,106542,436,87162
36087,false,Student,Other,Overnight,10553,10499,54,99191
34003,false,Senior,Commute,Overnight,14017,13776,241,173346
42103,false,NotLowIncome,Other,Peak,42720,37062,5658,23596
36087,false,Senior,Other,Peak,63038,62844,194,55002
36061,false,Student,Other,Overnight,17889,17690,199,333317
36103,false,LowIncome,Other,Peak,419245,418864,381,196752
34021,false,LowIncome,Commute,Peak,69756,65576,4180,62973
36061,false,NotLowIncome,Commute,Overnight,51205,51038,167,765831
36079,false,Student,Other,Overnight,2927,2907,20,21976
09001,false,NotLowIncome,Commute,Peak,718260,713931,4329,417145
34035,false,NotLowIncome,Commute,Peak,272265,270492,1773,171501
36005,false,LowIncome,Commute,Peak,359660,358993,667,469491
34031,false,LowIncome,Commute,Peak,108000,107729,271,100831
34025,false,Senior,Commute,Overnight,10294,10100,194,120652
36085,false,Senior,Other,Peak,86124,85881,243,85132
36087,false,NotLowIncome,Other,Overnight,46388,46135,253,118974
42103,false,LowIncome,Commute,Overnight,833,745,88,9750
36061,true,LowIncome,Other,Overnight,43237,43054,183,272046
34035,false,LowIncome,Commute,Peak,41822,41542,280,29694
36061,false,NotLowIncome,Other,Overnight,91970,91245,725,765831
34037,false,NotLowIncome,Commute,Overnight,7717,7638,79,72418
34017,false,LowIncome,Other,Overnight,42438,42158,280,134092
09001,false,Student,Commute,Overnight,11599,11522,77,251478
09005,false,Student,Other,Peak,25934,24599,1335,37324
34025,false,Senior,Commute,Peak,79822,78939,883,120652
09009,false,Senior,Commute,Overnight,11574,11147,427,159985
34003,false,Student,Other,Peak,153438,153169,269,229971
36111,false,LowIncome,Commute,Overnight,3268,3178,90,30777
36061,true,NotLowIncome,Commute,Overnight,159271,158849,422,765831
36027,false,Student,Commute,Peak,121950,121444,506,70555
34013,false,Student,Commute,Overnight,8533,8494,39,220250
36103,false,LowIncome,Other,Overnight,75112,74832,280,196752
36047,false,Student,Other,Peak,207591,207126,465,663789
36119,false,NotLowIncome,Commute,Peak,687454,686379,1075,439228
36061,false,Senior,Other,Overnight,21621,21404,217,296849
34021,false,Student,Commute,Overnight,5866,5754,112,102532
09009,false,Student,Other,Peak,178295,174044,4251,214683
36111,false,NotLowIncome,Other,Overnight,29239,28648,591,73461
34023,false,NotLowIncome,Commute,Peak,616580,613129,3451,393651
34023,false,Senior,Other,Overnight,34410,34152,258,137999
34019,false,NotLowIncome,Commute,Overnight,5934,5692,242,64025
34037,false,Student,Other,Overnight,4716,4672,44,32162
36119,false,Student,Other,Overnight,29669,29504,165,249351
36061,true,NotLowIncome,Other,Peak,741114,739545,1569,765831
36081,false,NotLowIncome,Other,Overnight,248084,246713,1371,922636
36119,false,Student,Commute,Overnight,10308,10256,52,249351
36087,false,LowIncome,Commute,Overnight,6622,6588,34,63359
36085,false,NotLowIncome,Commute,Peak,275828,275378,450,213036
09001,false,Senior,Commute,Peak,111836,110718,1118,159031
34039,false,Senior,Commute,Peak,58021,57579,442,87162
